Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Type","Range of Values","Drive Size","Includes","Features","Quantity"
-,-,CSWS9N-ND,CSWS9N,Apex Tool Group,"27PC,3/8"" DRIVE SCKT WR SET,STD/",0,0,"61.50000","0","1","-","Active","Socket Set","6 Point Socket, 12 Point Socket","8mm ~ 19mm","3/8""","-","-","27 Pieces"
-,-,81100-ND,81100,Apex Tool Group,SET BIT DRIVER TRIP SQ STUBBY 3/,0,0,"61.90000","0","20","-","Active","Socket Set","Square","-","1/4"", 3/4""","-","-","-"
-,-,84930N-ND,84930N,Apex Tool Group,SET SKT IMP MET 1/2DR 12PC,0,0,"66.22000","0","1","-","Active","Socket Set","12 Point Socket","-","1/2""","-","-","-"
-,-,84907-ND,84907,Apex Tool Group,SET SKT IMP MET 1/4DR 14PC,0,0,"66.45000","0","1","-","Active","Socket Set","6 Point Socket","-","1/4""","-","-","14 Pieces"
-,-,CSWS13N-ND,CSWS13N,Apex Tool Group,SOCKET SET 45PC 1/4"" AND 3/8"",0,0,"66.91000","0","1","Crescent®","Active","Socket Set","6 Point Socket, 12 Point Socket","-","1/4"", 3/8""","Extension Bar, Handle, Plastic Case","Chrome Finish, Ratcheting","-"
-,-,80555S-ND,80555S,Apex Tool Group,SET SKT MID LNGTH 3/8DR 6PT 11PC,0,0,"67.15000","0","1","-","Active","Socket Set","6 Point Socket","-","3/4""","-","-","11 Pieces"
-,-,84927N-ND,84927N,Apex Tool Group,SET EXT IMP LOCKING 3/8DR 3PC,0,0,"67.16000","0","1","-","Active","Socket Set","-","-","3/4""","-","-","-"
-,-,CX6PT20-ND,CX6PT20,Apex Tool Group,"RATCHET AND SOCKET SET,20PC,SAE,",0,0,"67.36000","0","3","-","Active","Socket Set","-","-","3/4""","-","-","20 Pieces"
-,-,80874-ND,80874,Apex Tool Group,SET SKT TRIP SQ LONG 3/8 & 1/2DR,0,0,"68.31000","0","5","-","Active","Socket Set","Square","-","1/2"", 3/4""","-","-","-"
-,-,80326-ND,80326,Apex Tool Group,SET SKT STD MET 1/4DR 6PT 14PC,0,0,"68.44000","0","1","-","Active","Socket Set","6 Point Socket","-","1/4""","-","-","14 Pieces"
-,-,84931N-ND,84931N,Apex Tool Group,SET SKT IMP SAE 1/2DR 12PC,0,0,"68.81000","0","1","-","Active","Socket Set","12 Point Socket","-","1/2""","-","-","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_CTK30SET.jpg,CTK30SET-ND,CTK30SET,Apex Tool Group,SOCKT SET W/HNDL 12PNT 3/8"" 30PC,0,0,"68.94000","0","4","Crescent®","Not For New Designs","Socket Set","12 Point Socket","5/16"" ~ 13/16"", 9mm ~ 19mm","3/8""","Extension Bars (2), Handle, Plastic Case, Spark Plug Socket","Deep, Ratcheting","30 Pieces"
